50 608 0,50 33 17
0 2 4
0 3 1
0 4 10
0 5 8
0 6 44
0 9 15
0 12 1
0 13 34
0 15 1
0 22 53
0 23 36
0 24 3
0 27 19
0 28 1
0 30 8
0 31 46
0 35 45
0 36 8
0 38 29
0 39 8
0 41 47
0 43 45
0 44 60
0 47 34
0 49 52
1 4 3
1 7 40
1 8 31
1 11 22
1 12 7
1 14 1
1 16 56
1 21 35
1 22 25
1 24 33
1 27 18
1 29 54
1 30 8
1 34 17
1 35 33
1 36 52
1 38 47
1 41 33
1 43 42
1 46 35
1 47 46
1 48 24
1 49 5
2 3 52
2 4 26
2 6 8
2 7 54
2 8 4
2 10 29
2 13 53
2 17 17
2 18 21
2 21 45
2 24 54
2 25 49
2 26 18
2 27 58
2 28 24
2 29 8
2 30 50
2 33 27
2 34 22
2 35 13
2 37 4
2 38 57
2 42 25
2 44 35
3 4 30
3 5 31
3 7 5
3 8 26
3 9 41
3 10 19
3 12 55
3 17 40
3 19 23
3 21 34
3 22 32
3 23 30
3 27 7
3 28 19
3 29 56
3 30 40
3 31 48
3 32 38
3 34 2
3 36 48
3 37 24
3 38 45
3 39 3
3 43 2
4 6 16
4 7 50
4 8 24
4 10 34
4 12 9
4 15 54
4 16 52
4 18 14
4 21 43
4 22 49
4 25 46
4 26 23
4 27 33
4 28 21
4 30 52
4 32 23
4 34 38
4 35 13
4 39 44
4 41 40
4 43 31
4 45 23
4 46 56
4 48 35
4 49 21
5 6 16
5 7 16
5 9 3
5 11 7
5 12 9
5 16 12
5 18 13
5 22 31
5 23 59
5 25 4
5 26 51
5 27 55
5 28 47
5 30 17
5 35 38
5 36 35
5 37 19
5 38 60
5 39 29
5 45 21
5 46 25
5 48 1
5 49 8
6 8 35
6 9 30
6 10 49
6 12 31
6 14 7
6 16 14
6 21 17
6 22 1
6 24 20
6 27 59
6 28 21
6 29 14
6 30 7
6 34 1
6 37 37
6 41 36
6 42 5
6 43 48
6 44 32
6 46 40
7 8 60
7 10 38
7 13 52
7 15 14
7 17 39
7 22 42
7 23 30
7 25 31
7 26 11
7 31 38
7 32 4
7 34 44
7 39 24
7 40 55
7 42 19
7 44 4
7 46 29
7 47 7
7 48 35
8 9 19
8 13 11
8 17 39
8 18 41
8 19 11
8 22 47
8 23 9
8 24 10
8 25 13
8 27 37
8 28 19
8 32 28
8 34 54
8 37 18
8 41 22
8 42 22
8 43 16
8 44 36
8 45 3
8 46 55
8 49 27
9 11 20
9 13 44
9 14 23
9 17 38
9 18 59
9 19 3
9 20 53
9 21 25
9 29 17
9 34 17
9 36 23
9 37 5
9 38 53
9 39 8
9 41 20
9 42 11
9 45 30
9 47 35
9 49 41
10 12 36
10 13 46
10 14 54
10 18 18
10 21 45
10 22 29
10 27 59
10 29 17
10 30 4
10 32 16
10 33 28
10 34 47
10 35 2
10 37 57
10 38 43
10 39 13
10 40 50
10 41 46
10 44 42
10 45 53
10 46 14
10 49 28
11 12 47
11 14 47
11 15 15
11 16 57
11 17 25
11 18 18
11 19 6
11 24 45
11 25 25
11 26 23
11 27 40
11 29 11
11 31 55
11 32 13
11 35 44
11 36 7
11 40 43
11 41 39
11 43 29
11 44 40
11 45 13
11 47 10
11 48 56
12 13 22
12 14 13
12 15 45
12 16 26
12 18 50
12 20 38
12 21 32
12 22 6
12 23 28
12 24 13
12 25 37
12 27 42
12 29 2
12 30 7
12 32 41
12 35 40
12 36 18
12 38 16
12 39 8
12 42 14
12 43 45
12 44 60
12 47 39
13 14 19
13 16 42
13 18 49
13 19 19
13 20 27
13 23 50
13 25 46
13 27 54
13 28 56
13 34 24
13 36 13
13 38 53
13 40 19
13 41 28
13 48 49
14 15 8
14 16 24
14 22 27
14 28 1
14 29 47
14 36 48
14 37 44
14 38 13
14 40 14
14 43 4
14 47 1
14 48 15
15 17 40
15 19 3
15 20 26
15 22 57
15 23 55
15 24 17
15 25 29
15 28 50
15 29 53
15 30 28
15 31 48
15 33 33
15 34 20
15 35 53
15 37 4
15 42 1
15 45 28
15 49 60
16 18 48
16 20 27
16 21 26
16 27 45
16 28 59
16 29 43
16 32 13
16 35 17
16 43 60
16 48 52
16 49 26
17 18 31
17 22 59
17 27 35
17 28 31
17 29 12
17 30 56
